rank,title,heat,reading,discussion,interaction,original,detail_url
1,杜淳妻子发长文给未婚女生十点建议,1129444,3673万,2755,1.4万,727,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E6%9D%9C%E6%B7%B3%E5%A6%BB%E5%AD%90%E5%8F%91%E9%95%BF%E6%96%87%E7%BB%99%E6%9C%AA%E5%A9%9A%E5%A5%B3%E7%94%9F%E5%8D%81%E7%82%B9%E5%BB%BA%E8%AE%AE%23
2,团队曝异瞳少年治沙为摆拍,672491,4578.8万,3981,3万,1257,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E5%9B%A2%E9%98%9F%E6%9B%9D%E5%BC%82%E7%9E%B3%E5%B0%91%E5%B9%B4%E6%B2%BB%E6%B2%99%E4%B8%BA%E6%91%86%E6%8B%8D%23
3,悟空,616877,2.6亿,17.2万,31.2万,2.4万,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%E6%82%9F%E7%A9%BA
4,周翊然 评论区,570108,6283.2万,4.9万,38.3万,1.6万,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%E5%91%A8%E7%BF%8A%E7%84%B6%20%E8%AF%84%E8%AE%BA%E5%8C%BA
5,胡杏儿强调与老公关系不变,495051,3119.5万,1857,1万,516,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E8%83%A1%E6%9D%8F%E5%84%BF%E5%BC%BA%E8%B0%83%E4%B8%8E%E8%80%81%E5%85%AC%E5%85%B3%E7%B3%BB%E4%B8%8D%E5%8F%98%23
6,古天乐说大S的离开好突然,425181,7003.3万,2803,2.4万,652,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E5%8F%A4%E5%A4%A9%E4%B9%90%E8%AF%B4%E5%A4%A7S%E7%9A%84%E7%A6%BB%E5%BC%80%E5%A5%BD%E7%AA%81%E7%84%B6%23
7,南大教授再回应陈丽君口误,346254,5361.7万,3778,5.6万,601,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E5%8D%97%E5%A4%A7%E6%95%99%E6%8E%88%E5%86%8D%E5%9B%9E%E5%BA%94%E9%99%88%E4%B8%BD%E5%90%9B%E5%8F%A3%E8%AF%AF%23
8,谍战上不封顶 周冬雨,313552,242.4万,1424,6341,481,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%E8%B0%8D%E6%88%98%E4%B8%8A%E4%B8%8D%E5%B0%81%E9%A1%B6%20%E5%91%A8%E5%86%AC%E9%9B%A8
9,白鹿回老家了,200339,6099.3万,2.8万,6.7万,1.3万,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E7%99%BD%E9%B9%BF%E5%9B%9E%E8%80%81%E5%AE%B6%E4%BA%86%23
10,被刘嘉玲认证超级帅哥的含金量,162086,2414.1万,2.1万,7.8万,6396,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%E8%A2%AB%E5%88%98%E5%98%89%E7%8E%B2%E8%AE%A4%E8%AF%81%E8%B6%85%E7%BA%A7%E5%B8%85%E5%93%A5%E7%9A%84%E5%90%AB%E9%87%91%E9%87%8F
11,丁真说演十八铜人把自己害惨了,140679,1018.8万,4438,1.4万,348,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%E4%B8%81%E7%9C%9F%E8%AF%B4%E6%BC%94%E5%8D%81%E5%85%AB%E9%93%9C%E4%BA%BA%E6%8A%8A%E8%87%AA%E5%B7%B1%E5%AE%B3%E6%83%A8%E4%BA%86
12,李冰冰于适手挽手,111530,5756.7万,1.7万,8.5万,6784,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E6%9D%8E%E5%86%B0%E5%86%B0%E4%BA%8E%E9%80%82%E6%89%8B%E6%8C%BD%E6%89%8B%23
13,李宏毅杨雨潼同框好养眼,106268,170万,6156,1.8万,548,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%E6%9D%8E%E5%AE%8F%E6%AF%85%E6%9D%A8%E9%9B%A8%E6%BD%BC%E5%90%8C%E6%A1%86%E5%A5%BD%E5%85%BB%E7%9C%BC
14,易烊千玺网站更新,91693,4.5亿,51万,129.2万,5.1万,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E6%98%93%E7%83%8A%E5%8D%83%E7%8E%BA%E7%BD%91%E7%AB%99%E6%9B%B4%E6%96%B0%23
15,张柏芝顶级骨相就是这样的,88134,1831.2万,9790,2.9万,1394,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%E5%BC%A0%E6%9F%8F%E8%8A%9D%E9%A1%B6%E7%BA%A7%E9%AA%A8%E7%9B%B8%E5%B0%B1%E6%98%AF%E8%BF%99%E6%A0%B7%E7%9A%84
16,张艺兴曾发行名为酒的歌曲,80992,980.8万,1647,2.1万,353,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E5%BC%A0%E8%89%BA%E5%85%B4%E6%9B%BE%E5%8F%91%E8%A1%8C%E5%90%8D%E4%B8%BA%E9%85%92%E7%9A%84%E6%AD%8C%E6%9B%B2%23
17,东京街头偶遇鹿晗,77986,7011.3万,1.2万,5.8万,2978,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E4%B8%9C%E4%BA%AC%E8%A1%97%E5%A4%B4%E5%81%B6%E9%81%87%E9%B9%BF%E6%99%97%23
18,王鹤棣李昀锐直播状态,77886,2302.5万,1.6万,13.4万,2967,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E7%8E%8B%E9%B9%A4%E6%A3%A3%E6%9D%8E%E6%98%80%E9%94%90%E7%9B%B4%E6%92%AD%E7%8A%B6%E6%80%81%23
19,昀牵孟绕,54798,16.8亿,229.5万,1436.8万,22万,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E6%98%80%E7%89%B5%E5%AD%9F%E7%BB%95%23
20,李光洁艾米新剧看谁都像坏人,54109,9.4万,2745,1.4万,18,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%E6%9D%8E%E5%85%89%E6%B4%81%E8%89%BE%E7%B1%B3%E6%96%B0%E5%89%A7%E7%9C%8B%E8%B0%81%E9%83%BD%E5%83%8F%E5%9D%8F%E4%BA%BA
21,张小婉妈妈不让张小婉凶管乐,53791,7552.8万,7415,2.9万,2171,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E5%BC%A0%E5%B0%8F%E5%A9%89%E5%A6%88%E5%A6%88%E4%B8%8D%E8%AE%A9%E5%BC%A0%E5%B0%8F%E5%A9%89%E5%87%B6%E7%AE%A1%E4%B9%90%23
22,胡杏儿给你亿点来自港姐的震撼,53320,799.2万,5149,1.7万,291,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%E8%83%A1%E6%9D%8F%E5%84%BF%E7%BB%99%E4%BD%A0%E4%BA%BF%E7%82%B9%E6%9D%A5%E8%87%AA%E6%B8%AF%E5%A7%90%E7%9A%84%E9%9C%87%E6%92%BC
23,马筱梅前夫,52343,2830.1万,3952,2.5万,462,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E9%A9%AC%E7%AD%B1%E6%A2%85%E5%89%8D%E5%A4%AB%23
24,第一个兔塑迪丽热巴的简直是天才,50318,939.1万,1.4万,5万,3659,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%E7%AC%AC%E4%B8%80%E4%B8%AA%E5%85%94%E5%A1%91%E8%BF%AA%E4%B8%BD%E7%83%AD%E5%B7%B4%E7%9A%84%E7%AE%80%E7%9B%B4%E6%98%AF%E5%A4%A9%E6%89%8D
25,李冰冰这才是大花水准,49669,390.6万,3207,1.1万,184,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%E6%9D%8E%E5%86%B0%E5%86%B0%E8%BF%99%E6%89%8D%E6%98%AF%E5%A4%A7%E8%8A%B1%E6%B0%B4%E5%87%86
26,全糖可乐,46114,5.5亿,185.6万,490.6万,18.1万,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%E5%85%A8%E7%B3%96%E5%8F%AF%E4%B9%90
27,蒋敦豪多次感谢周深帮助自己,43830,540.9万,636,7829,104,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E8%92%8B%E6%95%A6%E8%B1%AA%E5%A4%9A%E6%AC%A1%E6%84%9F%E8%B0%A2%E5%91%A8%E6%B7%B1%E5%B8%AE%E5%8A%A9%E8%87%AA%E5%B7%B1%23
28,白鹿常州地铁应援,40558,588.8万,3087,6807,1608,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E7%99%BD%E9%B9%BF%E5%B8%B8%E5%B7%9E%E5%9C%B0%E9%93%81%E5%BA%94%E6%8F%B4%23
29,于正称赵昭仪每天提100遍曹骏,39355,5979万,981,1.3万,313,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E4%BA%8E%E6%AD%A3%E7%A7%B0%E8%B5%B5%E6%98%AD%E4%BB%AA%E6%AF%8F%E5%A4%A9%E6%8F%90100%E9%81%8D%E6%9B%B9%E9%AA%8F%23
30,张伦硕为刘畊宏发声,38498,1285.3万,973,9451,88,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E5%BC%A0%E4%BC%A6%E7%A1%95%E4%B8%BA%E5%88%98%E7%95%8A%E5%AE%8F%E5%8F%91%E5%A3%B0%23
31,赤西仁广濑爱丽丝恋情,38230,289.7万,654,2369,45,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E8%B5%A4%E8%A5%BF%E4%BB%81%E5%B9%BF%E6%BF%91%E7%88%B1%E4%B8%BD%E4%B8%9D%E6%81%8B%E6%83%85%23
32,优酷发了好多剧的海报,38019,81.7万,160,528,50,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%23%E4%BC%98%E9%85%B7%E5%8F%91%E4%BA%86%E5%A5%BD%E5%A4%9A%E5%89%A7%E7%9A%84%E6%B5%B7%E6%8A%A5%23
33,孟子义成功了是魔术失败了是小品,37623,658.8万,4638,1.6万,368,https://m.s.weibo.com/vtopic/detail_new?click_from=searchpc&q=%E5%AD%9F%E5%AD%90%E4%B9%89%E6%88%90%E5%8A%9F%E4%BA%86%E6%98%AF%E9%AD%94%E6%9C%AF%E5%A4%B1%E8%B4%A5%E4%BA%86%E6%98%AF%E5%B0%8F%E5%93%81
