商品名称,价格,图片链接,销量,地址,店铺名称
【政府补贴立省500元】vivo iQOO 13新品骁龙8至尊版长续航学生游戏iQOO国补手机官方旗舰店官网iq13,3938..82,https://img.alicdn.com/imgextra/i1/883737303/O1CN01zkTor223opUz5OJL4_!!883737303-0-alimamacc.jpg_580x580q90.jpg_.webp,3万+人付款,广东 ,iQOO手机官方旗舰店
【国补立省15%】vivo iQOO Z9新款骁龙大内存大电池5GiQOO官方旗舰店官网正品送礼国家补贴,1366..72,https://gw.alicdn.com/imgextra/O1CN019hsy8b23opUzVTU8T_!!883737303-0-picasso.jpg_580x580q90.jpg_.webp,3万+人付款,广东 ,iQOO手机官方旗舰店
【国补立省15%】vivo iQOO Z9 Turbo新款第三代骁龙8S大电池iQOO官方旗舰店官网正品国家补贴,1759..02,https://picasso.alicdn.com/imgextra/O1CNA17rUflx23opUzmRx1j_!!883737303-0-psf.jpg_580x580q90.jpg_.webp,10万+人付款, ,iQOO手机官方旗舰店
vivoY200+新款智能拍照手机大内存大电池轻薄长续航闪充viv,1095..00,http://img.alicdn.com/img/i3/6000000003848/O1CN0139mn1S1eIR5JSGbUM_!!6000000003848-0-alimamacc.jpg_580x580q90.jpg_.webp,2000+人付款, ,vivo手机官方旗舰店
【国补立省15%】vivo iQOO Z9 Turbo长续航版新品骁龙学生大电池国补专区入口iQOO官方旗舰店,1808..02,https://gw.alicdn.com/imgextra/O1CN018YDCLi23opUyvFXhI_!!883737303-0-picasso.jpg_580x580q90.jpg_.webp,未知,广东 东莞,iQOO手机官方旗舰店
vivo Y36t新品智能拍照手机大内存大电池长续航vivo官方旗舰店正品学,595..00,http://img.alicdn.com/img/i2/881090092/O1CN01nxZKFP1CYBT4orrgf_!!4611686018427387436-2-saturn_solar.png_580x580q90.jpg_.webp,7000+人付款,广东 ,vivo手机官方旗舰店
【国补立省15%】vivo iQOO Z9x大电池长续航iQOO官方旗舰店官网正品送礼学生机老年机国家补贴,954..80,https://gw.alicdn.com/imgextra/O1CN01ylLn2r23opUzcb1U2_!!883737303-0-picasso.jpg_580x580q90.jpg_.webp,3万+人付款,广东 ,iQOO手机官方旗舰店
【政府补贴15%】HONOR/荣耀300 5G手机超薄小直屏单反级双防抖主摄100W超级快充荣耀绿洲护眼屏官方旗舰店200,2195..00,http://img.alicdn.com/img/i3/34403627/O1CN01oPD8391cfDYoHWPb1_!!4611686018427385131-2-saturn_solar.png_580x580q90.jpg_.webp,1万+人付款,广东 ,荣耀官方旗舰店
【国补立省15%】vivo iQOO Z9 Turbo+新品天玑9300+大电池iQOO官方旗舰店官网正品国家补贴入口,2053..02,https://gw.alicdn.com/imgextra/O1CN01CFu7BX23opV240rPR_!!883737303-0-picasso.jpg_580x580q90.jpg_.webp,4万+人付款,广东 ,iQOO手机官方旗舰店
新品上市OPPO一加Ace5新款学生游戏性能手机第三代骁龙8一加手机AI,2295..00,http://img.alicdn.com/img/i1/106298829/O1CN01fXkFXd2F5jtWCHmgX_!!4611686018427387341-0-saturn_solar.jpg_580x580q90.jpg_.webp,2万+人付款,广东 ,一加官方旗舰店
【国家补贴至高立省15%】vivo Y200t手机5G轻薄6000毫安时44W闪充大内存120Hz金刚护眼屏48个月流畅,995..00,https://picasso.alicdn.com/imgextra/O1CNA1aXZqiP1K9vPqtKbEr_!!2207440821122-0-psf.jpg_580x580q90.jpg_.webp,6万+人付款,广东 ,vivo手机官方旗舰店
