用户名,评论日期,评论内容
,,
,,
江**子,2025年2月12日 · F87 乌野橘光-太空金轴,手感相当好，按键工艺很好做的很紧，拆了键帽换了一套更满意了，今天带去公司用了体验很好。还有配套送了拔键器和轴，我是拔完了才发现的哈哈哈。客服很有耐心，有问必答，上一套狼蛛的键盘我就很喜欢，这次买了三模也没有失望
t**0,2025年2月10日 · F87 Pro 时空秘境-灰木轴V4,这款键盘放在购物车很久了，前段时间去弟弟家看到实物，手感声音颜值各方面都很不错，果断买了回来，真的物有所值
y**0,2025年2月4日 · F87 Pro 时空秘境-太空金轴,这次购物体验超棒，商品性价比高，质量优秀。物流高效快捷，商家服务周到，售后完善。 客服荣荣服务态度很好。P键有划痕联系客服补发了，键盘出了外壳不能拆下来其余都很不错
a**7,2024年12月28日 · F87 Pro 月影粉霞-灰木轴V4,别的不说，就冲颜值跟灯效就很值！我不打游戏但是买了就忍不住去敲键盘•̀֊•́✧其他方面不是很懂，玩无限暖暖这个磁轴急停还是很棒的，而且还能z字抖动！后续会考虑再买一个，换个颜色！灯效找客服拿的链接遇到问题很快帮我解决了！美美嘟(៸៸᳐⦁⩊⦁៸៸᳐ )੭
t**5,2025年2月6日 · F87 Pro 紫晶微光-灰木轴V4,刚到手就感受到质量了。手感很好，听着声音大其实是手机录音问题，实际上声音刚刚好，几十种背光效果也符合预期
j**5,2025年2月5日 · F87 Pro 星际迷航-灰木轴V4,第二把了，总体来说手感很不错，我自己买了凯华的冰淇淋轴来更换主要按键。
t**8,2025年2月1日 · F87 Pro 时空秘境-灰木轴V4,个人感觉声音比较大，但是听着挺舒服的，然后手感也不错，灯光也可以自己调
h**e,2025年1月2日 · F87 Pro 星际迷航-灰木轴V4,本来想换个安静点的，但是又懒得退了，先用着吧，挺有分量的，用着目前也没啥问题
n**r,2025年1月26日 · F87 Pro 落日海岸-灵动轴V3,好用，手感很特别，声音好听，办公室打字绰绰有余
t**8,2025年1月8日 · F87 乌野橘光-太空金轴,客服态度很好。原防尘罩因快递原因损坏了，商家直接补发了一个 键盘本身没问题，键程、压感什么的都不错
t**7,2025年1月19日 · F87 Pro 星际迷航-灰木轴V4,整体评价：199价位能买到这个键盘已经很不错了，想要更好的就加价吧。先用一段时间 看看品控怎么样，如果不出问题的话，这个键盘还是物超所值的
黑**平,2025年2月8日 · F87 乌野橘光-太空金轴,用了两天，感觉很不错，颜值很高，按键也舒服。
t**8,2025年2月7日 · F87 Pro 星际迷航-灰木轴V4,按压触感：很像巧克力 产品材质：质感很好手感非常沉重，完全没有塑料的轻感
t**4,2025年2月4日 · F87 Pro 月影粉霞-灰木轴V4,很好看，键盘声音也好听
风**1,2025年1月13日 · F87 Pro 星际迷航-灰木轴V4,功能多，按键很灵活，灵活过头了感觉，外观很不错。
t**2,2025年1月21日 · F87 Pro 落日海岸-灵动轴V3,上面是新键盘，下面是旧键盘，听声音就能听出来，这个声音和手感都很不错
k**i,2025年1月21日 · F87 Pro 星际迷航-灰木轴V4,好看得一批，按键声音也好听👍👍
t**3,2025年1月19日 · F87 Pro 蔚蓝星海-灰木轴V4,此用户没有填写评价。
