用户名,评论信息,评论内容
,,
,,
黄**8,2025年3月17日 · F87 Pro 月影粉霞-灰木轴V4,剑三很漂亮 打游戏的时候用起来敲击声很不错 键盘光也挺喜欢的 做工也不错 就是需要适应新键盘一下 有时候会按错技能
t**9,2025年3月23日 · F87 乌野橘光-太空金轴,整体评价：国补后126拿到的，F87（没有pro），整体只能是还行，这个价格的三模。 按压触感：键的稳定性肯定不如200左右以及往上的，想体验好点建议价钱（买过狼蛛F75好很多）。声音不算小，个人觉得不会太吵，中规中矩。
时**衷,2025年4月4日 · F87 Pro 白等高线10000mAh-极智轴,狼蛛的键盘还是很好的，第一次购买很惊喜，等高线真的太帅了，看这灯光，打字音也很HiFi麻将音，音乐律动也有，客服服务也很好，一次满意的购物
t**0,2025年3月30日 · F87 Pro 月影粉霞-灰木轴V4,包装很丰富，很认真，手感很好，用久了指头也不疼，侧刻高级感满满，性价比拉满，太牛了
c**8,2025年3月29日 · F87 乌野橘光-太空金轴,非常之牛*，声音很好听是我喜欢的那种麻将音w轴比较软敲也起来不费劲。唯一美中不足的就是键盘比较高以及键程比较长，不搭个腕托的话有点费手呐。这个价格太绝了
p**e,2025年3月24日 · F87 Pro 白等高线10000mAh-极智轴,现在国产的键盘做的越来越好了，丝毫不输大厂，虽然没有大厂的牌子硬气，可是它便宜啊家人们，只要三百不到，能体验到高端机械键盘的乐趣，而且感觉超赞，何乐而不为。收到立马换好新键帽送女朋友。
红**红,2025年3月9日 · F87 Pro 落日海岸-灵动轴V3,好喜欢😻！颜值很高，声音也是我很喜欢的那种有点闷的麻将音！这个价位已经超级满意了捏！
t**颜,2025年3月22日 · F87 Pro 黑等高线10000mAh-极智轴,"很不错好看，声音合适续航杠杠的,要是有一个相同配置的小键盘我觉得就是神了！ 希望出个相同配置的小键盘"
t**7,2025年3月17日 · F87 Pro 时空秘境-灰木轴V4,此用户没有填写评价。
t**2,2025年3月4日 · F87 Pro 月影粉霞-灰木轴V4,到货了，已经用了一天，目前来说，这个键盘确实挺不错的，手感方面这个灰木轴确实优秀，就是有一点有一个问题，它上面比黑色的键帽，因为是侧刻嘛，感觉亮度没有前面粉色部分的亮，我是第一次用侧刻的，视觉方面也没有很大影响，颜值方面也确实能打
t**2,2025年3月14日 · F87 Pro 月影粉霞-灰木轴V4,还可以，玩游戏还可以，但是买完超七天就有国补降价有点背刺了，15天的价保不包括国补，大家可以在低点入手
l**5,2025年4月1日 · F87 Pro 月影粉霞-灰木轴V4,超级好看 男朋友也很喜欢 颜值高又好用 很有重量 送礼好物
钟**6,2025年3月29日 · F87 乌野橘光-太空金轴,整体评价：很好 连接速度：快，蓝牙模式很快 外观体验：好看呐 响应速度：快
t**5,2025年3月28日 · F87 Pro 月影粉霞-灰木轴V4,狼蛛键盘非常好，换个键帽，绝了，声音麻将音，耳朵都快怀孕了😍
t**2,2025年3月11日 · F87 Pro 星际迷航-灰木轴V4,键盘手感很不错，性价比非常可以，打游戏嘎嘎爽
t**7,2025年3月26日 · F87 Pro 月影粉霞10000mAh-极智轴,客服很耐心键盘颜值很高很好看灯光可以自己调问客服要驱动程序就好了
